,Location,Page_n,Title,Url,Date,Description,Clean_text
499,Świat,5,Czy kraje UE wprowadzą własne świadectwa szczepień przeciw COVID-19? KE obawia się fałszerstw,https://www.tvp.info/53532993/paszporty-szczepien-czy-kraje-ue-wprowadza-wlasne-swiadectwa-szczepien-przeciw-covid-19-ke-obawia-sie-falszerstw,28.04.2021,"Jeśli UE nie zdoła zbudować wspólnego systemu, to poszczególne kraje Unii wprowadzą własne świadectwa szczepień przeciwko Covid-19 i stworzą plątaninę niezliczonych niekompatybilnych rozwiązań – ostrzegł w środę w Parlamencie Europejskim unijny komisarz ds. sprawiedliwości Didier Reynders.",ERROR
509,Świat,6,Koronawirus. Jest decyzja w sprawie stanu wyjątkowego w Portugalii,https://www.tvp.info/53521404/koronawirus-portugalia-stan-wyjatkowy-wz-z-pandemia-covid-19-zakonczony,28.04.2021,"Prezydent Portugalii Marcelo Rebelo de Sousa ogłosił zakończenie obowiązywania stanu wyjątkowego. Zastrzegł jednak, że będzie mógł przywrócić go w sytuacji ponownego zwiększenia się liczby zakażeń koronawirusem.",ERROR
514,Świat,6,Najwyższy wskaźnik zachorowań na COVID-19 w Europie? 13 spośród 15 regionów leży w Szwecji,https://www.tvp.info/53515622/w-szwecji-najwiecej-zachorowan-na-covid-19-w-europie-najwiecej-regionow-znajduje-sie-w-szwecji,27.04.2021,"Brytyjski tygodnik „The Economist” twierdzi, że 13 z 15 regionów w Europie o najwyższym wskaźniku zachorowań na Covid-19 znajduje się w Szwecji. Główny epidemiolog tego kraju Anders Tegnell ocenia, że sytuacja jest poważna, ale dane trudno porównywać.",ERROR
516,Świat,6,Ogień w New Delhi. W Indiach płoną stosy ciał zmarłych na COVID-19,https://www.tvp.info/53516541/koronawirus-indie-masowe-kremacje-zmarlych-na-covid-19-dramatyczna-sytuacja-w-indiach-zdjecia,27.04.2021,Media na całym świcie obiegły zajęcia z krematorium w indyjskiej stolicy New Delhi. Widać na nich masę palonych ciał ofiar COVID-19.,ERROR
527,Świat,7,Kilka tysięcy pacjentów z COVID-19 na francuskich oddziałach intensywnej terapii,https://www.tvp.info/53497714/pandemia-koronawirusa-francja-ponad-6-tys-osob-z-covid-19-na-oddzialach-intensywnej-terapii,27.04.2021,W ciągu ostatniej doby na francuskie oddziały intensywnej terapii przyjęto 470 chorych z COVID-19. Liczba pacjentów leczonych w ten sposób wzrosła do 6001 i przekroczyła najwyższą liczbę w czasie drugiej fali pandemii.,ERROR
529,Świat,7,Koronawirus. Prezydent Brazylii grozi władzom stanowym interwencją wojskową,https://www.tvp.info/53501957/koronawirus-prezydent-brazylii-jair-bolsonaro-grozi-wladzom-stanowym-interwencja-wojskowa-wz-z-pandemia-covid-19,27.04.2021,"Prezydent Brazylii Jair Bolsonaro po raz drugi w ciągu ostatnich trzech dni kategorycznie wypowiedział się w przeciwko antycovidowej polityce władz stanowych. Zapowiedział, że jeśli jej nie zmienią, to wyśle przeciwko nim wojsko.",ERROR
530,Świat,7,Kazachstan szczepi własnym preparatem przeciw COVID-19,https://www.tvp.info/53500005/koronawirus-szczepienia-kazachstan-szczepi-wlasna-szczepionka-przeciw-covid-19-qazvac,27.04.2021,"Kazachstan rozpoczął szczepienia przeciwko COVID-id-19 preparatem QazVac, własnej produkcji – poinformowało ministerstwo zdrowia. Jako pierwszy zaszczepiony został szef resortu Aleksiej Tsoj.",ERROR
531,Świat,7,Koronawirus. Słowacja podjęła decyzję w sprawie stanu wyjątkowego,https://www.tvp.info/53499589/koronawirus-slowacja-podjela-decyzje-w-sprawie-stanu-wyjatkowego-wz-z-epidemia-covid-19,27.04.2021,"Rząd słowacki zdecydował, że przedłuża stan wyjątkowy do 28 maja. Godzina policyjna nadal będzie obowiązywać, ale zostanie skrócona o godzinę i będzie się rozpoczynać o 21.",ERROR
540,Świat,8,Indyjski wariant koronawirusa we Włoszech,https://www.tvp.info/53495113/pandemia-koronawirusa-europa-indyjski-wariant-koronawirusa-we-wloszech,26.04.2021,"Również w Wenecji Euganejskiej wykryto indyjski wariant koronawirusa – poinformował Luca Zaia, przewodniczący tego regionu w północno-wschodnich Włoszech. Po Florencji to już drugi przypadek odkrycia tej nowej odmiany w tym kraju. W Europie odnotowano już kilkaset takich zakażeń.",ERROR
543,Świat,8,Kolejny rekord zakażeń w Indiach. Dramatyczna sytuacja w szpitalach [WIDEO],https://www.tvp.info/53492851/pandemia-koronawirusa-kolejny-rekord-zakazen-w-indiach-brakuje-miejsc-i-tlenu-w-szpitalach,26.04.2021,"W Indiach zanotowano po raz piąty z rzędu rekordowo wysoką liczbę nowych zakażeń koronawirusem w ciągu doby – 352 991. W związku z trudną sytuacją służby zdrowia do szpitali w Delhi docierają nowe dostawy tlenu. Pomoc medyczną oferują kolejne kraje. Szef KPRM Michał Dworczyk zapowiedział w poniedziałek, że rząd planuje wysłać w tym tygodniu drogą lotniczą transport ze szczepionkami dla pracowników ambasady Polski w Indiach.",ERROR
573,Świat,9,Celowo zakażał koronawirusem kolegów z pracy,https://www.tvp.info/53469898/hiszpania-aresztowano-mezczyzne-ktory-celowo-zakazal-koronawirusem,24.04.2021,"Hiszpańska policja aresztowała mężczyznę, który celowo zakażał koronawirusem swoich kolegów z pracy. Wskutek jego działania zainfekowane zostały co najmniej 22 osoby. Ich stan służby medyczne oceniają jako stosunkowo dobry.",ERROR
578,Świat,9,Pandemia skróciła średnią długość życia w Hiszpanii i w Polsce. O ile?,https://www.tvp.info/53468740/koronawirus-hiszpania-pandemia-covid-19-skrocila-srednia-dlugosc-zycia-o-ile-pandemia-w-hiszpanii,24.04.2021,Pandemia COVID-19 w ubiegłym roku skróciła średnią długość życia w Hiszpanii o ponad półtora roku - wynika z badania przeprowadzonego przez Instytut im. Karola III w Madrycie. W sobotę opisała je publiczna rozgłośnia RNE. Spadek średniej długości życia odnotowano też m.in. na Litwie i w Polsce.,ERROR
593,Świat,0,Epidemiczny stan wyjątkowy w Tokio. Igrzyska jednak niezagrożone,https://www.tvp.info/53458958/japonia-wprowadzono-epidemiczny-stan-wyjatkowy-w-tokio-igrzyska-olimpijskie-jednak-niezagrozone,24.04.2021,"Władze Japonii ogłosiły epidemiczny stan wyjątkowy w Tokio oraz trzech prefekturach – Kioto, Osace i Hyogo. W kraju, w którym za trzy miesiące mają zostać rozegrane Igrzyska Olimpijskie zanotowano znaczny wzrost liczby zakażeń koronawirusem.",ERROR
